condition_id,dataset_id,encoder_id,projection_dim,tau,balanced_accuracy,accuracy,macro_f1
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.4,0.5062171602546084,0.7032418952618454,0.4561620608983333
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.5,0.5043055752696403,0.6982543640897756,0.4499784736140265
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.6,0.5079698261810417,0.6927680798004987,0.44870024864886865
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.7,0.5077574009718087,0.6882793017456359,0.4456118551928144
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.8,0.5099024753608413,0.6882793017456359,0.4489570096508408
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.9,0.5056962227526335,0.685785536159601,0.4478097388082189
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,1.0,0.4977695702556617,0.687780548628429,0.45464630419607266
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.0,0.8901000000000001,0.894074074074074,0.8906034982161455
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.1,0.9034833333333333,0.9072222222222223,0.9042924854220458
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.2,0.9049999999999999,0.9087037037037037,0.9060877579370343
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.3,0.8997166666666667,0.9038888888888889,0.9014730325696769
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.4,0.8937833333333334,0.8983333333333333,0.8959777873824658
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.5,0.8871833333333333,0.8918518518518519,0.8895424174593707
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.6,0.8800666666666667,0.885,0.8825801014554097
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.7,0.87705,0.8820370370370371,0.8793643348149042
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.8,0.87715,0.8820370370370371,0.8790992532378219
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,0.9,0.8802166666666666,0.8846296296296297,0.8819136801647749
eurosat__resnet18_imagenet1k_v1__d128,eurosat,resnet18_imagenet1k_v1,128,1.0,0.8840833333333334,0.8875925925925926,0.8845373430997888
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.0,0.8663833333333333,0.8709259259259259,0.8664239691404576
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.1,0.8818166666666667,0.8861111111111111,0.8820453186711952
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.2,0.8832000000000001,0.8875925925925926,0.883587847906749
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.3,0.8829499999999999,0.8874074074074074,0.8834858207078391
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.4,0.8781666666666667,0.882962962962963,0.8789444456920317
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.5,0.8748666666666667,0.8798148148148148,0.875668783408566
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.6,0.8704000000000001,0.8755555555555555,0.871250944166875
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.7,0.8677166666666667,0.8729629629629629,0.8684785798490431
eurosat__resnet18_imagenet1k_v1__d64,eurosat,resnet18_imagenet1k_v1,64,0.8,0.8658333333333333,0.8709259259259259,0.8664485184684436
