pair_id,condition_id,bank_id,dataset_id,modality,encoder_id,projection_dim,intervention,n_reflected_classes,n_classes,counts_equal,t2_comm_norm_diff,t2_model_norm_diff,max_head_parameter_norm_diff,phase1_object_recovery_norm_error,optimal_tau_set_original,optimal_tau_set_counterfactual,optimal_sets_disjoint,deterministic_pair_minimax_regret,randomized_pair_minimax_regret,curve_linf_shift,best_bacc_original,best_bacc_counterfactual,diag_m3_distance,sketch_m3_distance,sketch_m4_distance,diag_m3_aggregation_norm_error,sketch_m3_aggregation_norm_error,diag_m3_upload_ratio_vs_t2,sketch_m3_upload_ratio_vs_t2,present_client_class_pairs
eurosat__vit_b_16_imagenet1k_v1__d64__all_reflect,eurosat__vit_b_16_imagenet1k_v1__d64,eurosat__vit_b_16_imagenet1k_v1,eurosat,nonmedical,vit_b_16_imagenet1k_v1,64,all_reflect,10,10,True,7.583569983912566e-15,1.4432899320127035e-14,1.4432899320127035e-14,9.880984919163893e-15,[0.4],[0.9],True,0.0014166666666666217,0.0013900625978089907,0.11043333333333316,0.8816333333333333,0.9869499999999999,0.6685615796436544,0.6688618724960149,5.769443554959729e-14,1.1055764692185831e-15,1.6818513198388038e-15,1.0298229263746506,1.0074557315936625,97
eurosat__vit_b_16_imagenet1k_v1__d64__hash_half_reflect,eurosat__vit_b_16_imagenet1k_v1__d64,eurosat__vit_b_16_imagenet1k_v1,eurosat,nonmedical,vit_b_16_imagenet1k_v1,64,hash_half_reflect,7,10,True,7.434872533247614e-15,1.4432899320127035e-14,1.4432899320127035e-14,9.880984919163893e-15,[0.4],[0.7],True,0.0013499999999998513,0.0009860499265784556,0.08564999999999989,0.8816333333333333,0.9639999999999999,0.28066607143607064,0.2585045062065909,3.6885027618315874e-14,1.1055764692185831e-15,1.6818513198388038e-15,1.0298229263746506,1.0074557315936625,97
eurosat__vit_b_16_imagenet1k_v1__d128__all_reflect,eurosat__vit_b_16_imagenet1k_v1__d128,eurosat__vit_b_16_imagenet1k_v1,eurosat,nonmedical,vit_b_16_imagenet1k_v1,128,all_reflect,10,10,True,4.692106156983077e-15,1.3655743202889425e-14,1.3655743202889425e-14,8.715250743307479e-15,[0.2],[0.4],True,0.0007999999999999119,0.0006941176470587405,0.10081666666666678,0.9163166666666667,0.9994,0.6875369571082666,0.7013636867198101,1.802019917114525e-13,1.3652612934191724e-15,1.3662127229116853e-15,1.015263534462199,1.0019079418077748,97
eurosat__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,eurosat__vit_b_16_imagenet1k_v1__d128,eurosat__vit_b_16_imagenet1k_v1,eurosat,nonmedical,vit_b_16_imagenet1k_v1,128,hash_half_reflect,9,10,True,4.692106156983077e-15,1.3655743202889425e-14,1.3655743202889425e-14,8.715250743307479e-15,[0.2],[0.4],True,0.0007999999999999119,0.0006695035460992137,0.09596666666666676,0.9163166666666667,0.9952333333333334,0.38530305401453496,0.31887527209446503,3.697467732958766e-14,1.3652612934191724e-15,1.3662127229116853e-15,1.015263534462199,1.0019079418077748,97
pathmnist__resnet18_imagenet1k_v1__d64__all_reflect,pathmnist__resnet18_imagenet1k_v1__d64,pathmnist__resnet18_imagenet1k_v1,pathmnist,medical,resnet18_imagenet1k_v1,64,all_reflect,9,9,True,1.9525620049024947e-14,5.589972928987663e-14,5.589972928987663e-14,5.440092820663267e-14,[0.1],[0.4],True,0.010806864866582,0.008594754921471569,0.23839322223448312,0.7349616657897087,0.9517668340405611,0.8319794744119959,0.7752459804603268,6.1286481061631045e-12,3.732794372525312e-15,7.869488998622839e-15,1.0298229263746506,1.0074557315936625,112
pathmnist__resnet18_imagenet1k_v1__d64__hash_half_reflect,pathmnist__resnet18_imagenet1k_v1__d64,pathmnist__resnet18_imagenet1k_v1,pathmnist,medical,resnet18_imagenet1k_v1,64,hash_half_reflect,7,9,True,1.2203512530640831e-14,4.106437412332298e-14,4.105049633551516e-14,5.440092820663267e-14,[0.1],[0.4],True,0.010806864866582,0.007750193218066302,0.18370483806873872,0.7349616657897087,0.8946312628171292,0.7655847671390066,0.7065844057882548,6.0316461545206425e-12,3.732794372525312e-15,7.869488998622839e-15,1.0298229263746506,1.0074557315936625,112
pathmnist__resnet18_imagenet1k_v1__d128__all_reflect,pathmnist__resnet18_imagenet1k_v1__d128,pathmnist__resnet18_imagenet1k_v1,pathmnist,medical,resnet18_imagenet1k_v1,128,all_reflect,9,9,True,1.7837091961457186e-14,6.453171330633722e-14,6.455946888195285e-14,6.086797732507421e-14,[0.1],[0.2],True,0.004342262668452612,0.003102211189441279,0.24351891781054313,0.7424205075144195,0.9789758371178752,0.817176404616309,0.8244996679759917,4.092871791178563e-12,6.298225224879518e-15,2.966478355680035e-15,1.015263534462199,1.0019079418077748,112
pathmnist__resnet18_imagenet1k_v1__d128__hash_half_reflect,pathmnist__resnet18_imagenet1k_v1__d128,pathmnist__resnet18_imagenet1k_v1,pathmnist,medical,resnet18_imagenet1k_v1,128,hash_half_reflect,4,9,True,1.7837091961457363e-14,5.645484080218921e-14,5.642708522657358e-14,6.086797732507421e-14,[0.1],[0.1],False,0.0,0.0,0.09740511426559872,0.7424205075144195,0.8317141354717784,0.42124861716005907,0.42179504921113115,3.267091736066753e-12,6.298225224879518e-15,2.966478355680035e-15,1.015263534462199,1.0019079418077748,112
pathmnist__vit_b_16_imagenet1k_v1__d64__all_reflect,pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist__vit_b_16_imagenet1k_v1,pathmnist,medical,vit_b_16_imagenet1k_v1,64,all_reflect,9,9,True,1.2580028065424453e-14,1.924849168943865e-14,1.924849168943865e-14,1.8443579996585413e-14,[0.2],[0.3],True,0.00573075430560277,0.003385405183261306,0.20183544291901068,0.784268794230227,0.9720252350784558,0.6720116562642356,0.6143748263648808,6.096022089557106e-13,3.886920330347717e-15,3.162641040359185e-15,1.0298229263746506,1.0074557315936625,103
pathmnist__vit_b_16_imagenet1k_v1__d64__hash_half_reflect,pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist__vit_b_16_imagenet1k_v1,pathmnist,medical,vit_b_16_imagenet1k_v1,64,hash_half_reflect,2,9,True,9.405628460130433e-15,1.7208456881689926e-14,1.7208456881689926e-14,1.8443579996585413e-14,[0.2],[0.3],True,0.0009306428885648144,0.0008006256923533986,0.03328738708922663,0.784268794230227,0.8010399806180044,0.24405250599349068,0.23974631775967178,1.397238061618751e-13,3.886920330347717e-15,3.162641040359185e-15,1.0298229263746506,1.0074557315936625,103
pathmnist__vit_b_16_imagenet1k_v1__d128__all_reflect,pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist__vit_b_16_imagenet1k_v1,pathmnist,medical,vit_b_16_imagenet1k_v1,128,all_reflect,9,9,True,2.589479262718489e-14,5.764833055366125e-14,5.764833055366125e-14,3.136380044566067e-14,[0.1],[0.2],True,0.002537666660805793,0.0021667059279164716,0.1998652366496232,0.8295128097848417,0.9956393811497962,0.7364464676080005,0.6379717258032839,1.927039434127299e-12,5.948067741134151e-15,3.685774372077434e-15,1.015263534462199,1.0019079418077748,103
pathmnist__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist__vit_b_16_imagenet1k_v1,pathmnist,medical,vit_b_16_imagenet1k_v1,128,hash_half_reflect,7,9,True,2.589479262718489e-14,5.764833055366125e-14,5.764833055366125e-14,3.136380044566067e-14,[0.1],[0.3],True,0.007112185422366912,0.00520247748969353,0.16304891350205408,0.8295128097848417,0.9521801179108296,0.6037507219824977,0.5396425612997001,1.9096421703834496e-12,5.948067741134151e-15,3.685774372077434e-15,1.015263534462199,1.0019079418077748,103
