condition_id,pair_id,task,tau,balanced_accuracy
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,1.0,0.904843570755961
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.0,0.7402348381872343
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.1,0.7568950408959664
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.2,0.771128948174383
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.3,0.7804097086423488
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.4,0.7818710822297021
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.5,0.7777255223013964
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.6,0.7802714318519623
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.7,0.7786146069629309
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.8,0.7774463732499421
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,0.9,0.778243232186605
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_b,1.0,0.7776442222721541
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.0,0.9103817827624354
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.1,0.9057218094932245
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.2,0.8916405399690872
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.3,0.8645032350798576
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.4,0.8312653096456164
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.5,0.8008483526759453
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.6,0.7786340036147879
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.7,0.7641571518539501
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.8,0.7544369446064749
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,0.9,0.750574124598966
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_a,1.0,0.7537923121211425
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.0,0.8741158634665732
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.1,0.8868545811451946
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.2,0.8947180276630424
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.3,0.9001771112021015
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.4,0.9036104823025413
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.5,0.9053670221389656
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.6,0.9058449529870388
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.7,0.9057091796129779
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.8,0.9056314073739029
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,0.9,0.9059548557124715
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0003,domain_b,1.0,0.9052741111219393
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.0,0.9103817827624354
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.1,0.9057218094932245
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.2,0.8916405399690872
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.3,0.8645032350798576
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.4,0.8312653096456164
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.5,0.8008483526759453
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.6,0.7786340036147879
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.7,0.7641571518539501
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.8,0.7544369446064749
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,0.9,0.750574124598966
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_a,1.0,0.7537923121211425
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.0,0.8583718090813395
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.1,0.8618685589344306
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.2,0.8428423421980529
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.3,0.8067297951835417
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.4,0.7658294235768769
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.5,0.7397450517877574
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.6,0.7261152471798731
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.7,0.7182844577550372
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.8,0.7134828888625759
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,0.9,0.7093069075638905
camelyon17__vit_b_16_imagenet1k_v1__d128,camelyon17__0000__0002,domain_b,1.0,0.702647169592253
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.0,0.900504681290606
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.1,0.8960915715460347
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.2,0.8867924311064228
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.3,0.8731287399424444
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.4,0.8539470978108495
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.5,0.8334985133370059
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.6,0.8118878032045327
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.7,0.7941069231904991
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.8,0.7805095469018529
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,0.9,0.7674411859746118
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_a,1.0,0.7520481870795046
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.0,0.8622567793537359
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.1,0.8740164411426845
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.2,0.881397215033173
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.3,0.886450362265572
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.4,0.8904577924393867
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.5,0.8922543057840148
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.6,0.8945827429416163
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.7,0.895836729593444
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.8,0.8967274168767825
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.9,0.8974251792259902
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,1.0,0.8973533905657389
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.0,0.8589855004124383
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.1,0.8627687533514127
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.2,0.8549748992989186
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.3,0.8400393784887132
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.4,0.8169946579317465
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.5,0.7954671615134188
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.6,0.7737646646079964
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.7,0.7559280227885528
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.8,0.740919038498425
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,0.9,0.7292926265004335
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_a,1.0,0.7182040796277684
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.0,0.8622567793537359
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.1,0.8740164411426845
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.2,0.881397215033173
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.3,0.886450362265572
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.4,0.8904577924393867
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.5,0.8922543057840148
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.6,0.8945827429416163
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.7,0.895836729593444
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.8,0.8967274168767825
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,0.9,0.8974251792259902
camelyon17__vit_b_16_imagenet1k_v1__d64,camelyon17__0002__0003,domain_b,1.0,0.8973533905657389
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.0,0.9539802789802789
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.1,0.9472462722462721
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.2,0.9472462722462721
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.3,0.9438792688792689
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.4,0.9472462722462721
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.5,0.9472462722462721
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.6,0.9405122655122655
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.7,0.9405122655122655
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.8,0.9405122655122655
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,0.9,0.9405122655122655
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_a,1.0,0.9105459355459354
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.0,0.8679001220859254
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.1,0.8679001220859254
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.2,0.8698961300699573
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.3,0.8698961300699573
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.4,0.8718921380539891
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.5,0.8738881460380211
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.6,0.8738881460380211
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.7,0.8675508206887196
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.8,0.8675508206887196
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,0.9,0.8675508206887196
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0081__0268,domain_b,1.0,0.8544982849834312
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.0,0.8626142057176539
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.1,0.8626142057176539
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.2,0.8709475390509872
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.3,0.8677866195107574
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.4,0.8677866195107574
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.5,0.8677866195107574
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.6,0.8677866195107574
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.7,0.8604590333038608
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.8,0.8416371942234012
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,0.9,0.8301429413498379
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_a,1.0,0.7810050103153552
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam__0041__0157,domain_b,0.0,0.935224412107816
