condition_id,dataset_id,bank_id,encoder_id,projection_dim,pair_id,domain_a,domain_b,selection_rank,eligible_pair_count,selected_pair_count,n_shared_classes,t2_distance,t2_empirical_percentile,m3_distance,optimal_tau_set_original,optimal_tau_set_counterfactual,optimal_sets_disjoint,deterministic_pair_minimax_regret,randomized_pair_minimax_regret,curve_linf_shift,best_bacc_original,best_bacc_counterfactual,gamma_bootstrap_ci95_low,gamma_bootstrap_ci95_high,robust_decision_critical,m3_upload_ratio_vs_t2,no_group_leakage
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0191__0208,191,208,7,1281,10,3,2.0248823215043696,0.00546448087431694,0.4974991506401226,[0.3],[0.7],True,0.0060058844170919334,0.005749429803450583,0.3765131039748417,0.8061472311472312,0.9276459632358897,0.0,0.021742651226820064,False,1.0074592074592075,True
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0157__0210,157,210,8,1281,10,3,2.0249717126492484,0.00624512099921936,0.749492640215475,[0.1],[1.0],True,0.006302436442752968,0.005624947387199012,0.16265869443989,0.9150856511328053,0.8737277567706948,0.00016396282491503157,0.011458889027715895,False,1.0074592074592075,True
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0191__0306,191,306,9,1281,10,4,2.029433532068895,0.00702576112412178,0.6011916076280708,[0.6],[1.0],True,0.022136956306664457,0.014261399223628424,0.09666051189088476,0.8943897503660279,0.8378157959283787,0.008025412488231834,0.033259947662319884,True,1.0074592074592075,True
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0147__0208,147,208,10,1281,10,4,2.0427229889272707,0.0078064012490242,0.6664450297750015,[0.5],[0.8],True,0.0032188841201716833,0.003133033510604966,0.08137456870260829,0.8215105017289059,0.8376078584860673,0.0,0.012795695859178648,False,1.0074592074592075,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0191__0306,191,306,1,1281,10,4,2.504058644527843,0.00078064012490242,0.7918543472007062,[0.3],"[0.4, 0.5]",True,0.010963192213192197,0.007197445704269446,0.1533552059448534,0.8848254958200215,0.7954426629487625,0.0057057713206867255,0.02514900870854316,True,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0179__0306,179,306,2,1281,10,4,2.579192288662126,0.00156128024980484,0.7788849462958509,[0.2],"[0.4, 0.5]",True,0.01569071685837098,0.008730410268865502,0.15708136820215868,0.7314244762548946,0.7954426629487625,0.002093286131659625,0.033333333333333326,False,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0147__0208,147,208,3,1281,10,4,2.6769789540607163,0.00234192037470726,0.5520562901361757,[0.3],[0.5],True,0.0036404771698889116,0.0029255721303546017,0.07447271463220884,0.8140164582069066,0.8128595015083799,0.0,0.01352867687786876,False,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0208__0283,208,283,4,1281,10,4,2.719798069293896,0.00312256049960968,0.717019993954118,[0.3],[0.2],True,0.0014231499051233776,0.0009202453987730174,0.09465666171726039,0.9417754431729322,0.8497229481223384,0.0,0.006592987804878048,False,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0115__0299,115,299,5,1281,10,3,2.761113395810561,0.0039032006245121,0.6151263459574321,[0.9],"[0.3, 0.4]",True,0.004401154401154295,0.003990269066843122,0.15048038017824306,0.7439204126750184,0.8238816738816738,0.0,0.042502516213828015,False,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0208__0306,208,306,6,1281,10,3,2.766810472172334,0.00468384074941452,0.8200628958878832,[0.4],[0.1],True,0.01841890774265975,0.01296647835701573,0.12029342305764557,0.9346633070694496,0.9088184036249564,0.006451208908484829,0.03179602039493708,True,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0022__0208,22,208,7,1281,10,4,2.8163981969959533,0.00546448087431694,0.9998547761008809,"[0.1, 0.2]",[0.1],False,0.0,0.0,0.18209799133626137,0.9757407407407407,0.8754529017937059,0.0,0.0015199161425576424,False,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0279__0306,279,306,8,1281,10,3,2.8912736958114205,0.00624512099921936,0.7391612820566678,"[0.9, 1.0]",[0.6],True,0.0043290043290042934,0.0030401943387638043,0.14169092905295988,0.8766594516594516,0.805224429727741,0.0,0.012987012987012991,False,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0047__0216,47,216,9,1281,10,3,2.901159065892364,0.00702576112412178,0.8088142920791938,"[0.0, 0.1]",[0.5],True,0.029042386185243352,0.0237595269710887,0.06129716844002564,0.902668759811617,0.8764753764753767,0.0,0.055860805860805884,False,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d128,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,128,iwildcam__0004__0306,4,306,10,1281,10,3,2.9715589909206512,0.0078064012490242,0.7792653279331893,[0.4],[0.2],True,0.010244286840031425,0.006051437216338875,0.10343613143882102,0.8857368006304176,0.8377831997211572,0.0,0.01851851851851838,False,1.0019081693500298,True
iwildcam__vit_b_16_imagenet1k_v1__d64,iwildcam,iwildcam__vit_b_16_imagenet1k_v1,vit_b_16_imagenet1k_v1,64,iwildcam__0191__0306,191,306,1,1281,10,4,1.8621791234955976,0.00078064012490242,0.5485159152708874,[1.0],[0.2],True,0.01873410531479547,0.012176508507587813,0.12828055544042616,0.8395193371926949,0.7851319339555658,0.0,0.033498136110546514,False,1.0074592074592075,True
