condition_id,dataset_id,encoder_id,projection_dim,objective_id,direction,tau,score,selected
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,1.0,43.86585206335242,True
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.0,6.067124521219595,False
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.1,7.4544532367664935,False
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.2,8.482613898184614,False
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.3,9.412343109281899,False
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.4,10.337278283217518,False
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.5,11.31580540529475,False
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.6,12.40107451087302,False
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.7,13.656284776986272,False
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.8,15.173201737132079,False
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.9,17.070433718097874,False
