replicate_id,T_HET
783,0.00024828145174149685
784,0.0002573662053788934
785,0.00010578023757746637
786,0.00010844733331411439
787,3.347942394288162e-05
788,0.00020851382447140132
789,9.16208102506055e-05
790,0.00017545870334396946
791,6.148510334133679e-05
792,9.183761846085388e-05
793,0.0001071596434793616
794,0.00012248088221280631
795,0.00011272040114829591
796,0.0001050013304686389
797,4.453777714026128e-05
798,8.061455276870173e-05
799,0.00022580593869896503
800,0.0001351779099244222
801,0.00018956995915593892
802,6.70485887750225e-05
803,7.597026651867706e-05
804,6.373267243157916e-05
805,6.16199750223335e-05
806,0.00014850258944880095
807,0.00010080962892301473
808,0.00014783589706585942
809,0.0001683584167405276
810,5.224746380299107e-05
811,0.00013892481276385325
812,5.3114472912778904e-05
813,9.663662069908802e-05
814,0.00011282238507445787
815,3.598379680334495e-05
816,0.00013511164887245996
817,0.00013547815369176157
818,0.00024885156142150035
819,9.002617817643421e-05
820,6.997115636561913e-05
821,0.00012988088855811985
822,0.00011698958855099737
823,0.00014822884117515864
824,7.505450721702559e-05
825,0.0001422644728046196
826,0.00020044362882421066
827,4.63308213394309e-05
828,6.697695138445099e-05
829,0.00011065643335266661
830,6.958625661531094e-05
831,0.00013418807995010262
832,3.731881840929483e-05
833,8.72605092040271e-05
834,0.0001374110702726628
835,0.0002059873931132119
836,5.204822237818198e-05
837,6.142345886896095e-05
838,0.00016326168194110286
839,7.713597217232245e-05
840,0.00013353491895651173
841,8.379324678503653e-05
842,9.235630486263788e-05
843,0.00012876576724469755
844,5.546856891973667e-05
845,0.0001983741757956647
846,0.00010355552869495058
847,6.76386476521679e-05
848,7.72587434855871e-05
849,0.00012156728872848449
850,0.00021212027285839709
851,0.0002651049764413978
852,0.00016958630442917498
853,7.56373621539674e-05
854,0.00011831875205507647
855,0.00017495566057696717
856,7.40091575935523e-05
857,5.988645562146479e-05
858,0.00022109421869464098
859,5.874478947347803e-05
860,8.11510351852681e-05
861,0.00019592150102385071
862,0.00024608265898455947
863,3.759487854641342e-05
864,0.00014414085987399152
865,0.00014732520495775537
866,6.74361486657722e-05
867,0.00013070654346867733
868,0.00018708692334024643
869,0.0001300111265150588
870,4.630372039487649e-05
871,9.606633178487083e-05
872,6.85312137855744e-05
873,5.6649015504474006e-05
874,6.372269772984987e-05
875,9.516666006014017e-05
876,0.00012352458736702773
877,2.5596619517679002e-05
878,6.034191167409186e-05
879,8.708671610352689e-05
880,0.00013772483058798873
881,0.00010480742621407803
882,6.893637624520558e-05
883,1.733342304107803e-05
884,5.944291682444863e-05
885,5.0403374581115175e-05
886,0.0003235005059166431
887,0.00026960917123239515
888,0.00018055507323645878
889,7.681279961801133e-05
890,0.00013918930197669854
891,0.00011103555022442941
892,7.45554756154864e-05
893,0.00017781478756711972
894,6.111040979263302e-05
895,0.00015546771303017525
896,0.00012289813641333018
897,6.891519749569235e-05
898,4.7647444609112235e-05
899,0.00018663618696369751
900,0.00019636231540564984
901,3.767537784367234e-05
902,4.358722623152124e-05
903,9.881639395108975e-05
904,0.00017569990380576767
905,5.4629946464774035e-05
906,0.00014462194322685965
907,0.00011483601495054041
908,9.719833451772832e-05
909,0.0001103839624824566
910,3.081387284022529e-05
911,0.00011017989120462902
912,1.4872378610877138e-05
913,9.742838516233905e-05
914,0.00010783714482824372
915,6.210615878635623e-05
916,6.483846975728074e-05
917,7.456697134423327e-05
918,0.00014657916480824415
919,0.0001701681385463527
920,0.0001042914349304114
921,5.75456842625772e-05
922,6.816636318131335e-05
923,4.2978954981042725e-05
924,9.632416282420355e-05
925,0.0001647971718349368
926,0.0001558107120425216
927,6.781390436404917e-05
928,0.00011836128081307257
929,5.728813980756906e-05
930,0.00011392465089158614
931,9.869969227714351e-05
932,3.876754249541417e-05
933,8.559197611959829e-05
934,0.000147789985737402
935,0.000324983806115961
936,6.76981230816211e-05
937,7.976629733434743e-05
938,0.00019648748396881196
939,7.29119724730419e-05
940,0.00014834061678228676
941,0.00010932354380330365
942,0.0001040740255043699
943,7.957911842260716e-05
944,0.0001436817192351116
945,0.00010780811991130423
946,0.00016263411507419674
947,0.00016951361147823712
948,0.00013827250419579947
949,4.9765125928040906e-05
950,0.00013730457771944144
951,0.00010986379056035628
952,0.00013360035548891963
953,0.00010123920044831044
954,2.8812313923513044e-05
955,8.790335348977016e-05
956,0.00012963917095694844
957,0.0001432740435432734
958,0.00018041470603612287
959,0.0001491648154557123
960,6.669026371107691e-05
961,9.172078508256959e-05
962,0.0001221175973469071
963,0.00012145921205534402
964,0.0003214665040662331
965,4.90976894976892e-05
966,0.00024299402064179373
967,9.250550634261956e-05
968,8.105482770028808e-05
969,7.697683303879736e-05
970,0.00023566204072590099
971,7.21008150482879e-05
972,0.00027471649554364967
973,0.00010682121418133236
974,0.0001831446085040866
975,0.00014631440934315161
976,4.270665824031414e-05
977,0.0002879468274377024
978,9.226640042446542e-05
979,0.00010840346126134096
980,5.259543965593451e-05
981,0.00017747386321212687
982,8.142335597845945e-05
983,0.00015900807783978283
984,2.0537337961805507e-05
985,6.505532537711079e-05
986,7.063174590930078e-05
987,0.00019653846847365536
988,0.00019423517487495454
989,7.704392431229164e-05
990,0.00010595430959031314
991,9.978339424483017e-05
992,0.00011783489818858388
993,0.00012107761143589201
994,0.00014288224072950568
995,0.00010001323386968862
996,4.36502410823185e-05
997,0.00018318638811161926
998,6.086270698584184e-05
999,0.00013398588188885896
1000,0.0002943509274690812
1001,7.98291063000624e-05
1002,2.454637107686959e-05
1003,6.326875045027227e-05
1004,0.00032633989321889396
1005,7.006337277595297e-05
1006,7.21927021660832e-05
1007,0.00010013243165147185
1008,0.00011659248192655492
1009,7.848825548150155e-05
1010,4.6108920707248546e-05
1011,0.00016437617428945503
1012,7.490028577591463e-05
1013,0.00011199639862184268
1014,0.00019431296696643334
1015,9.342393285412122e-05
1016,0.00017385740615298597
1017,9.051624108113768e-05
1018,0.00013029816755394844
1019,0.00013584884873504288
1020,0.00010211086477013615
1021,0.00012846451246428177
1022,3.1214460798089576e-05
1023,0.00013280224314828707
1024,7.626928655206095e-05
1025,0.0001342475549088228
1026,0.00010483622203455632
1027,0.00012919824922909476
1028,0.0001564026818549626
1029,6.950027837480856e-05
1030,0.00013275260727587374
1031,6.045231908264154e-05
1032,0.00017303328804359989
1033,0.00021204540528261173
1034,7.718920832355658e-05
1035,0.00016033113934080953
1036,5.6371796746027396e-05
1037,8.899659169622396e-05
